rowid_obs;Id;IsOkStation;IsOkMetadata;SufiDay;SufiMon;Z-score;Corr;Level
1;20200517j538zbcanwe6in5tyyb96sciue;True;True;True;True;False;True;M1
2;20200517jj9qa3wadye6in5tyyb96sprnc;True;True;True;True;False;True;M1
3;20200517s485uucanae6in5tyyb96sprnc;True;True;False;False;False;True;M1
4;20200517tmdz4qranoe6in5tyyb96sciue;True;True;False;False;False;True;M1
5;20200517nkjrw4cadre6in5tyyb96sciue;True;True;False;False;False;True;M1
6;202005174zi9p3wadre6in5tyyb96sprnc;True;True;False;False;False;True;M1
7;20200517jj9qahhadye6in5tyyb96sprnc;True;True;False;False;False;True;M1
8;20200517fjgnberanwe6in5tyyb96sciue;True;True;False;False;False;True;M1
9;2020051777mupfcanwe6in5tyyb96sciue;True;True;False;False;False;True;M1
10;20200517tp5po1canhe6in5tyyb96sciue;True;True;False;False;False;True;M1
11;202005177ht831canae6in5tyyb96sprnc;True;True;False;False;False;True;M1
12;20200517g46h6yradre6in5tyyb96sciue;True;True;False;False;False;True;M1
13;20200517ks7y3rranwe6in5tyyb96sprnc;True;True;False;False;False;True;M1
14;202005176sumbxcadre6in5tyyb96sprnc;True;True;False;False;False;True;M1
15;20200517dj4zfthanae6in5tyyb96sciue;True;True;False;False;False;True;M1
16;20200517iepxzpcanhe6in5tyyb96sciue;True;True;False;False;False;True;M1
17;20200517p36iwqwadye6in5tyyb96sciue;True;True;False;False;False;True;M1
18;20200517wmrj8rcanoe6in5tyyb96sciue;True;True;False;False;False;True;M1
19;20200517mpb74tradre6in5tyyb96sprnc;True;True;False;False;False;True;M1
20;20200517w1dgrawanae6in5tyyb96sciue;True;True;False;False;False;True;M1
21;20200517zb5wy1radye6in5tyyb96sciue;True;True;False;False;False;True;M1
22;202005171jzk7phanae6in5tyyb96sprnc;True;True;False;False;False;True;M1
23;202005176qeucsranoe6in5tyyb96sciue;True;True;False;False;False;False;M1
24;20200517b1ntfphadye6in5tyyb96sciue;True;True;False;False;False;True;M1
25;202005173kpifycadye6in5tyyb96sciue;True;True;False;False;False;True;M1
26;20200517osoed3cadre6in5tyyb96sciue;True;True;False;False;False;True;M1
27;20200517jundwbwanhe6in5tyyb96sciue;True;True;False;False;False;True;M1
28;20200517zwseewhanwe6in5tyyb96sprnc;True;True;False;False;False;True;M1
29;20200517xjid9iwanae6in5tyyb96sprnc;True;True;False;False;False;True;M1
30;20200517a1g3qqwadye6in5tyyb96sciue;True;True;True;True;False;True;M1
31;20200517yakg8qhanwe6in5tyyb96sciue;True;True;True;True;False;False;M1
32;202005175wyigqhanwe6in5tyyb96sciue;True;True;True;True;False;True;M1
33;20200517u345t1ranae6in5tyyb96sprnc;True;True;True;True;False;True;M1
34;20200517p19qfawanhe6in5tyyb96sciue;True;True;True;True;False;True;M1
35;20200517hmiyiowadye6in5tyyb96sciue;True;True;True;True;False;True;M1
36;20200517fmenbnradye6in5tyyb96sciue;True;True;True;True;False;True;M1
37;20200517wxrmgrhadre6in5tyyb96sciue;True;True;True;True;False;True;M1
38;20200517ikg3a6canae6in5tyyb96sciue;True;True;True;True;False;True;M1
39;20200517dnqtrqwadye6in5tyyb96sprnc;True;True;True;True;False;True;M1
40;202005175ugz88wadye6in5tyyb96sprnc;True;True;True;True;False;True;M1
41;20200517h9wputwanwe6in5tyyb96sprnc;True;True;True;True;False;True;M1
42;20200517m6uzr9hanhe6in5tyyb96sciue;True;True;True;True;False;True;M1
43;20200517us6gt7radre6in5tyyb96sciue;True;True;True;True;False;True;M1
44;20200517rwcka5wanwe6in5tyyb96sprnc;True;True;True;True;False;True;M1
45;20200517ikg3a9canae6in5tyyb96sciue;True;True;False;False;False;False;M1
46;20200517hn7rh7hanoe6in5tyyb96sciue;True;True;False;False;False;True;M1
47;202005177h1h8gcadye6in5tyyb96sprnc;True;True;False;False;False;True;M1
48;20200517i9wgu1wanwe6in5tyyb96sprnc;True;True;False;False;False;True;M1
49;20200517s69f6chadre6in5tyyb96sprnc;True;True;False;False;False;True;M1
50;20200517czurnxwanhe6in5tyyb96sprnc;True;True;False;False;False;True;M1
51;20200517fc73qmhadye6in5tyyb96sprnc;True;True;False;False;False;True;M1
52;20200517ihccjbranoe6in5tyyb96sprnc;True;True;True;True;False;False;M1
53;20200517ph45swranwe6in5tyyb96sprnc;True;True;True;True;False;True;M1
54;20200517cajdh1cadye6in5tyyb96sciue;True;True;True;True;False;True;M1
55;202005178f5dekhanae6in5tyyb96sciue;True;True;True;True;False;True;M1
56;20200517dmxgdhhadre6in5tyyb96sprnc;True;True;True;True;False;True;M1
57;202005179pzgafranae6in5tyyb96sprnc;True;True;True;True;False;True;M1
58;2020051739csnghadre6in5tyyb96sprnc;True;True;True;True;False;True;M1
59;20200517sn5a4jhanhe6in5tyyb96sprnc;True;True;True;True;False;True;M1
60;20200517itmj16radye6in5tyyb96sprnc;True;True;True;True;False;True;M1
