;rowid;Site Id;longitude;latitude;IsWithin;CountryId;geometry;elevation;UTC_TimeZone;UTC_OffsetHours;HARP_SID_int
0;1;;-2.9194;54.1866;True;UK;POINT (-2.9194 54.1866);37.0;Europe/London;+00:00;4200000001
1;2;0029ead6-4cc1-ea11-bf21-0003ff5982ee;3.6398;51.1036;True;BE;POINT (3.6398 51.1036);5.0;Europe/Brussels;+01:00;4200000002
2;3;0035f568-ee98-e911-80e7-0003ff59889d;4.711;50.8769;True;BE;POINT (4.711 50.8769);38.0;Europe/Brussels;+01:00;4200000003
3;7;00a30701-f954-e911-b048-0003ff59ad54;-0.1275;51.5072;True;UK;POINT (-0.1275 51.5072);14.0;Europe/London;+00:00;4200000007
4;9;00c55df9-5069-ea11-99e5-0003ff59b16f;16.7794;60.2276;True;SE;POINT (16.7794 60.2276);39.0;Europe/Stockholm;+01:00;4200000009
5;10;00fdc859-6b5a-e811-bd6d-0003ff59b2de;-2.31296658754354;52.1373932260534;True;UK;POINT (-2.31296658754354 52.1373932260534);69.0;Europe/London;+00:00;4200000010
6;11;010c7bab-c21f-e911-9462-0003ff5972a6;7.03927129268641;52.2483246411839;True;NL;POINT (7.03927129268641 52.2483246411839);37.0;Europe/Amsterdam;+01:00;4200000011
7;12;012f3b60-693c-eb11-8fed-0003ff595f97;4.3736;50.4687;True;BE;POINT (4.3736 50.4687);163.0;Europe/Brussels;+01:00;4200000012
8;14;01705cf1-432c-eb11-8441-0003ff59786b;23.0241;40.4897;True;EL;POINT (23.0241 40.4897);70.0;Europe/Athens;+02:00;4200000014
9;15;01a872a7-0e8c-e811-8c6e-0003ff597a81;10.7963010432014;45.1522874078962;True;IT;POINT (10.7963010432014 45.1522874078962);16.0;Europe/Rome;+01:00;4200000015
10;16;01b3941f-7c8c-ea11-99e5-0003ff596d81;4.5429;52.0547;True;NL;POINT (4.5429 52.0547);-4.0;Europe/Amsterdam;+01:00;4200000016
11;18;01e5d4c1-6b2b-e811-bbd3-0003ff598027;4.60661098122591;51.64668803825;True;NL;POINT (4.60661098122591 51.64668803825);1.0;Europe/Amsterdam;+01:00;4200000018
12;19;01e7272e-3699-ea11-8b71-0003ff59b194;0.5209;52.419;True;UK;POINT (0.5209 52.419);18.0;Europe/London;+00:00;4200000019
13;20;01ee1502-61c3-e811-a8eb-0003ff5999e3;10.2102755071625;49.1262520573459;True;DE;POINT (10.2102755071625 49.1262520573459);453.0;Europe/Berlin;+01:00;4200000020
14;21;01f0486d-dc06-e911-9462-0003ff5972a6;21.91741;49.96118;True;PL;POINT (21.91741 49.96118);214.0;Europe/Warsaw;+01:00;4200000021
15;23;0207be05-673d-eb11-8fed-0003ff5982ed;-1.9125;52.5971;True;UK;POINT (-1.9125 52.5971);152.0;Europe/London;+00:00;4200000023
16;24;022e7b36-977c-e911-80e7-0003ff59889d;-7.8289;52.4587;True;IE;POINT (-7.8289 52.4587);148.0;Europe/Dublin;+00:00;4200000024
17;25;023961f4-4d06-e811-90cd-0003ff59aed1;-0.1275;51.5072;True;UK;POINT (-0.1275 51.5072);14.0;Europe/London;+00:00;4200000025
18;26;02469a08-95b4-e911-b083-0003ff598cc1;3.4816;51.01;True;BE;POINT (3.4816 51.01);13.0;Europe/Brussels;+01:00;4200000026
19;27;024fe130-aeb4-ea11-bf21-0003ff5982ee;-0.801;51.351;True;UK;POINT (-0.801 51.351);77.0;Europe/London;+00:00;4200000027
20;28;02598b4d-88b7-ea11-bf21-0003ff59a56f;4.9711;52.4278;True;NL;POINT (4.9711 52.4278);-1.0;Europe/Amsterdam;+01:00;4200000028
21;30;02ada5b7-5015-eb11-8441-0003ff597f33;5.7014;50.8483;True;BE;POINT (5.7014 50.8483);57.0;Europe/Amsterdam;+01:00;4200000030
22;31;02af4e6e-7830-e911-867c-0003ff59b2e5;6.408;53.136;True;NL;POINT (6.408 53.136);5.0;Europe/Amsterdam;+01:00;4200000031
23;32;02b21464-89e3-e811-a140-0003ff5993a0;6.0835;52.5133;True;NL;POINT (6.0835 52.5133);1.0;Europe/Amsterdam;+01:00;4200000032
24;33;02b646b4-fac2-e811-a8ec-0003ff59b2da;14.8264;60.7882;True;SE;POINT (14.8264 60.7882);199.0;Europe/Stockholm;+01:00;4200000033
25;34;02baeb5f-730f-eb11-8441-0003ff597f33;8.1143;47.6112;True;DE;POINT (8.1143 47.6112);448.0;Europe/Berlin;+01:00;4200000034
26;35;02c47e79-9b51-ea11-b698-0003ff59771b;0.5888;51.3585;True;UK;POINT (0.5888 51.3585);75.0;Europe/London;+00:00;4200000035
27;36;02ed4e9c-b2dd-e611-9401-000d3ab1ce9d;4.64515566587443;51.5755677324384;True;NL;POINT (4.64515566587443 51.5755677324384);5.0;Europe/Amsterdam;+01:00;4200000036
28;38;02fd016d-5bd2-e711-9401-0003ff597a72;3.2256;51.0073;True;BE;POINT (3.2256 51.0073);32.0;Europe/Brussels;+01:00;4200000038
29;39;031b3469-d7ac-ea11-8b71-0003ff59b0d7;2.2671;41.7421;True;ES;POINT (2.2671 41.7421);687.0;Europe/Madrid;+01:00;4200000039
30;40;0326496d-d4fb-ea11-b5d9-0003ff599498;5.8802;50.1679;True;BE;POINT (5.8802 50.1679);405.0;Europe/Brussels;+01:00;4200000040
31;41;0337f1f5-bd51-e711-9400-0003ff597c44;6.86565586242682;53.1944192829925;True;NL;POINT (6.86565586242682 53.1944192829925);1.0;Europe/Amsterdam;+01:00;4200000041
32;42;033bfe28-3505-e911-9462-0003ff5972a6;11.7479340160623;57.8928999672243;True;SE;POINT (11.7479340160623 57.8928999672243);61.0;Europe/Stockholm;+01:00;4200000042
33;43;033d2559-fd70-ea11-99e5-0003ff596d81;-7.7594;37.1193;True;PT;POINT (-7.7594 37.1193);94.0;Europe/Lisbon;+00:00;4200000043
34;44;0350fe09-863c-eb11-8fed-0003ff597f34;5.7366;50.2542;True;BE;POINT (5.7366 50.2542);577.0;Europe/Brussels;+01:00;4200000044
35;47;0359c412-2e11-e911-9462-0003ff598847;8.80508601665497;53.0541639193623;True;DE;POINT (8.80508601665497 53.0541639193623);4.0;Europe/Berlin;+01:00;4200000047
36;48;0360504a-7de3-e811-a140-0003ff5993a0;6.0553;52.5385;True;NL;POINT (6.0553 52.5385);1.0;Europe/Amsterdam;+01:00;4200000048
37;51;03a48016-eb62-ea11-b698-0003ff599880;23.2526;57.0258;True;LV;POINT (23.2526 57.0258);29.0;Europe/Riga;+02:00;4200000051
38;52;03afaa43-09b2-e911-b083-0003ff59a71f;13.8811;46.6001;True;AT;POINT (13.8811 46.6001);485.0;Europe/Vienna;+01:00;4200000052
39;53;03f42fb5-3a9d-e611-9404-000d3ab1ce9d;4.4332;52.0295;True;NL;POINT (4.4332 52.0295);-5.0;Europe/Amsterdam;+01:00;4200000053
40;54;03f73ebe-1d58-e811-bd6d-0003ff59b2de;-3.47504636536371;52.3642524957201;True;UK;POINT (-3.47504636536371 52.3642524957201);305.0;Europe/London;+00:00;4200000054
41;55;040017c6-a055-ea11-b699-0003ff59987e;6.2599;52.5659;True;NL;POINT (6.2599 52.5659);2.0;Europe/Amsterdam;+01:00;4200000055
42;56;0401b53e-bb25-eb11-8441-0003ff597f33;6.0869;45.6299;True;FR;POINT (6.0869 45.6299);1193.0;Europe/Paris;+01:00;4200000056
43;58;043214b0-9733-ea11-8454-0003ff59ab13;17.1123;48.9126;True;CZ;POINT (17.1123 48.9126);195.0;Europe/Prague;+01:00;4200000058
44;60;043dda1e-4eb4-e911-b083-0003ff598cc1;-9.1264;53.925;True;IE;POINT (-9.1264 53.925);32.0;Europe/Dublin;+00:00;4200000060
45;61;0451dea3-8501-ea11-b862-0003ff599e2a;22.4648;51.254;True;PL;POINT (22.4648 51.254);218.0;Europe/Warsaw;+01:00;4200000061
46;62;0473a877-92f5-ea11-b5d9-0003ff59944a;12.3781;49.4491;True;DE;POINT (12.3781 49.4491);484.0;Europe/Berlin;+01:00;4200000062
