SID;lat;lon;elev;name
4200000001;54.1866;-2.9194;37;---
4200000002;51.1036;3.6398;5;---
4200000003;50.8769;4.711;38;---
4200000007;51.5072;-0.1275;14;---
4200000009;60.2276;16.7794;39;---
4200000010;52.1373932260534;-2.31296658754354;69;---
4200000011;52.2483246411839;7.03927129268641;37;---
4200000012;50.4687;4.3736;163;---
4200000014;40.4897;23.0241;70;---
4200000016;52.0547;4.5429;-4;---
4200000018;51.64668803825;4.60661098122591;1;---
4200000020;49.1262520573459;10.2102755071625;453;---
4200000021;49.96118;21.91741;214;---
4200000023;52.5971;-1.9125;152;---
4200000025;51.5072;-0.1275;14;---
4200000026;51.01;3.4816;13;---
4200000027;51.351;-0.801;77;---
4200000028;52.4278;4.9711;-1;---
4200000030;50.8483;5.7014;57;---
4200000031;53.136;6.408;5;---
4200000032;52.5133;6.0835;1;---
4200000033;60.7882;14.8264;199;---
4200000034;47.6112;8.1143;448;---
4200000036;51.5755677324384;4.64515566587443;5;---
4200000038;51.0073;3.2256;32;---
4200000039;41.7421;2.2671;687;---
4200000040;50.1679;5.8802;405;---
4200000041;53.1944192829925;6.86565586242682;1;---
4200000042;57.8928999672243;11.7479340160623;61;---
4200000043;37.1193;-7.7594;94;---
4200000044;50.2542;5.7366;577;---
4200000047;53.0541639193623;8.80508601665497;4;---
4200000048;52.5385;6.0553;1;---
4200000051;57.0258;23.2526;29;---
4200000052;46.6001;13.8811;485;---
4200000054;52.3642524957201;-3.47504636536371;305;---
4200000055;52.5659;6.2599;2;---
4200000056;45.6299;6.0869;1193;---
4200000058;48.9126;17.1123;195;---
4200000061;51.254;22.4648;218;---
4200000062;49.4491;12.3781;484;---
4200000063;52.7849920791672;4.85483467340464;-1;---
4200000064;50.243106;6.064272;453;---
4200000065;57.8862;16.623;;---
4200000070;50.7494;-3.2705;88;---
4200000071;56.8581658051363;12.6451934814453;38;---
4200000073;53.5301;-2.5426;67;---
4200000078;51.566;6.005;17;---
4200000079;49.7386;5.3394;365;---
4200000080;52.2181485;4.5163644;1;---
4200000081;56.1684;15.7316;12;---
4200000083;51.2271;21.8337;128;---
4200000084;50.2936;13.7497;301;---
4200000085;53.8236;-2.6372;76;---
4200000086;51.9609;5.9749;10;---
